OBJECTID,FID_1,assessorid,PropertyLo,ZONE_CODE,ACRES,EQUIV_ZONE,Equiv_Dens,Shape__Area,Shape__Length,Pref_Dens,Pref_CapFull,Permitted_,SB899_Cate,SB899_Den,Shape__Area 1,Shape__Length 1,Developable Area,Max Stories,Functional Density Limit,Max Density by Height,Likely Max Unit Count,SDBL Density,Current Max Stories (w/ Menu)
48,20733,5743-033-035,2495 E MOUNTAIN ST  PASADENA CA  91104,PS,3.06504011,RM-32,32,18162.32421875,559.12075334,64,196,0,COMM,100,6299.48828125,373.77862842,1.06314581,4,100,106,106,57,2.5,,
49,20994,5744-004-023,789 N ALTADENA DR  PASADENA CA  91107,PS,2.11505008,RM-32,32,12532.44921875,510.01403559,64,135,0,COMM,100,5958.06640625,309.98687579,1.00556639,4,100,100,100,57,2.5,,
50,24353,5757-002-011,3700 E SIERRA MADRE BLVD  PASADENA CA  91107,PS,11.20629978,RS-6,6,66401.64843750,1046.67064818,32,358,0,COMM,41,21546.23437500,626.61761832,3.63649932,2.5,70,254,254,10,,,
51,24357,5757-005-005,770 SIERRA MADRE VILLA AVE  PASADENA CA  91107,PS,8.08745956,RS-6,6,47920.44531250,1250.16031045,32,258,0,COMM,36,24472.65625000,1017.49341051,4.13038190,2.5,70,289,258,10,,,
52,24431,5757-001-025,3740 E SIERRA MADRE BLVD  PASADENA CA  91107,PS,2.52279997,RS-6,6,14948.78515625,504.09020771,32,80,0,COMM,100,8068.46484375,502.45195846,1.36172729,2.5,70,95,80,10,,,
53,29189,5848-009-017,,PS,0.44506401,RS-6,6,2638.17578125,205.73183344,32,14,0,COMM,101,2638.17578125,205.73183344,0.44508892,2.5,70,31,14,10,,,
54,29464,5848-009-018,845 ATCHISON ST  PASADENA CA  91104,PS,0.35239401,RM-16,16,2088.87109375,200.70139493,32,11,0,COMM,99,2088.87109375,200.70139493,0.35241571,2.5,70,24,11,28,,,
55,13328,5725-006-023,485 N RAYMOND AVE  PASADENA CA  91103,RM-12,0.70740300,RM-12,12,4191.05078125,260.49053953,32,22,12,RES,51,2688.90625000,260.00908394,0.45387853,2.5,70,31,22,21,,,
56,14601,5728-001-010,101 E CLAREMONT ST  PASADENA CA  91103,RM-12,0.30081099,RM-12,12,1782.71484375,181.32760361,32,9,12,RES,53,782.67968750,112.10250816,0.13207590,2.5,70,9,9,21,,,
57,15284,5729-006-013,119 E WASHINGTON BLVD  PASADENA CA  91103,RM-12,0.50310099,RM-12,12,2981.71484375,281.64683869,32,16,12,RES,50,946.97656250,147.17621665,0.15978838,2.5,70,11,11,21,,,
58,17062,5731-014-003,690 E ORANGE GROVE BLVD  PASADENA CA  91104,RM-12,0.89220899,RM-12,12,5286.33203125,296.98638769,32,28,12,RES,50,3765.03515625,296.16823759,0.63548168,2.5,70,44,28,21,,,
59,17069,5731-018-022,819 E VILLA ST  PASADENA CA  91101,RM-12,0.59301299,RM-12,12,3513.38671875,355.76985594,32,18,12,RES,51,3513.38671875,355.76985594,0.59304133,2.5,70,41,18,21,,,
60,15043,5728-013-034,239 WASHINGTON PL  PASADENA CA  91103,RM-12,0.33882901,RM-12,12,2008.12500000,179.29388444,32,10,12,RES,50,2008.12500000,179.29388444,0.33884615,2.5,70,23,10,21,,,
61,15241,5728-013-056,1299 SUNSET AVE  PASADENA CA  91103,RM-12,0.55377901,RM-12,12,3281.98046875,230.33602670,32,17,12,RES,51,3281.98046875,230.33602670,0.55380756,2.5,70,38,17,21,,,
62,27829,5837-005-010,1840 N RAYMOND AVE  PASADENA CA  91103,RM-12,0.52978200,RM-12,12,3140.46093750,227.73303892,32,16,12,RES,49,3140.46093750,227.73303892,0.52981421,2.5,70,37,16,21,,,
63,27985,5837-006-017,1700 N RAYMOND AVE  PASADENA CA  91103,RM-12,1.26784003,RM-12,12,7515.07421875,399.17860217,32,40,12,RES,51,3982.29687500,261.82798669,0.67186988,2.5,70,47,40,21,,,
64,28033,5837-006-006,1730 N RAYMOND AVE  PASADENA CA  91103,RM-12,0.34807801,RM-12,12,2063.25781250,198.74428729,32,11,12,RES,49,2063.25781250,198.74428729,0.34809716,2.5,70,24,11,21,,,
65,30183,5850-014-028,1497 N HILL AVE  PASADENA CA  91104,RM-12,1.23204005,RM-12,12,7302.38281250,410.85417059,32,39,12,RES,50,2831.50390625,227.13797597,0.47775123,2.5,70,33,33,21,,,
66,37848,5731-005-055,520 E ORANGE GROVE BLVD  PASADENA CA  91104,RM-12,0.89545900,RM-12,12,5305.58593750,290.56295766,32,28,12,RES,50,3641.12500000,290.89267232,0.61456749,2.5,70,43,28,21,,,
67,38000,5728-017-026,1281 SUNSET AVE  PASADENA CA  91103,RM-12,0.31410101,RM-12,12,1861.50781250,178.43955266,32,10,12,RES,51,1861.50781250,178.43955266,0.31412017,2.5,70,21,10,21,,,
68,7066,5737-008-064,330 N HILL AVE  PASADENA CA  91106,RM-16,0.61317301,RM-16,16,3632.53515625,249.11918566,32,19,16,RES,49,2518.37109375,253.04684102,0.42512164,2.5,70,29,19,28,,,
